is_tested,gender,age,wage,region,date,type
No,Female,31-50,less than IDR 3 million,East Jakarta,2019-05-23,rapid
No,Male,50+,IDR 10-25 million,North Jakarta,2019-05-23,rapid
Yes,Female,18-34,more than IDR 25 million,North Jakarta,2019-05-24,rapid
Yes,Female,18-34,more than IDR 25 million,South Jakarta,2019-05-24,rapid
Yes,Male,31-50,less than IDR 3 million,North Jakarta,2019-05-24,rapid
Yes,Female,31-50,IDR 3-5 million,East Jakarta,2019-05-24,rapid
No,Female,50+,more than IDR 25 million,Central Jakarta,2019-05-24,rapid
No,Male,50+,IDR 3-5 million,West Jakarta,2019-05-24,rapid
No,Female,31-50,less than IDR 3 million,South Jakarta,2019-05-24,rapid
No,Male,50+,more than IDR 25 million,South Jakarta,2019-05-24,rapid
Yes,Female,18-34,IDR 5-10 million,Central Jakarta,2019-05-24,rapid
Yes,Female,31-50,less than IDR 3 million,North Jakarta,2019-05-24,rapid
Yes,Female,50+,IDR 10-25 million,West Jakarta,2019-05-24,rapid
No,Male,50+,more than IDR 25 million,North Jakarta,2019-05-24,rapid
No,Male,31-50,IDR 10-25 million,North Jakarta,2019-05-24,rapid
No,Male,18-34,less than IDR 3 million,Central Jakarta,2019-05-24,rapid
Yes,Male,18-34,IDR 5-10 million,East Jakarta,2019-05-24,rapid
Yes,Male,31-50,IDR 3-5 million,North Jakarta,2019-05-24,rapid
No,Female,18-34,IDR 10-25 million,North Jakarta,2019-05-25,rapid
No,Female,18-34,IDR 3-5 million,South Jakarta,2019-05-25,rapid
No,Male,31-50,IDR 3-5 million,North Jakarta,2019-05-25,rapid
Yes,Male,31-50,IDR 3-5 million,South Jakarta,2019-05-25,rapid
Yes,Male,18-34,IDR 10-25 million,South Jakarta,2019-05-25,rapid
Yes,Male,31-50,IDR 10-25 million,Central Jakarta,2019-05-25,rapid
Yes,Male,50+,more than IDR 25 million,East Jakarta,2019-05-25,rapid
Yes,Male,31-50,IDR 3-5 million,East Jakarta,2019-05-25,rapid
Yes,Female,50+,less than IDR 3 million,East Jakarta,2019-05-25,rapid
No,Male,50+,IDR 10-25 million,South Jakarta,2019-05-25,rapid
Yes,Female,50+,IDR 10-25 million,South Jakarta,2019-05-25,rapid
No,Female,18-34,IDR 5-10 million,North Jakarta,2019-05-25,rapid
No,Female,50+,less than IDR 3 million,Central Jakarta,2019-05-25,rapid
No,Male,18-34,less than IDR 3 million,East Jakarta,2019-05-25,rapid
Yes,Male,18-34,IDR 3-5 million,East Jakarta,2019-05-25,rapid
No,Male,31-50,more than IDR 25 million,West Jakarta,2019-05-25,rapid
No,Female,31-50,IDR 10-25 million,Central Jakarta,2019-05-25,rapid
No,Female,18-34,more than IDR 25 million,West Jakarta,2019-05-25,rapid
No,Male,50+,IDR 10-25 million,North Jakarta,2019-05-26,rapid
No,Female,50+,more than IDR 25 million,Central Jakarta,2019-05-26,rapid
Yes,Female,31-50,more than IDR 25 million,South Jakarta,2019-05-26,rapid
No,Female,18-34,IDR 3-5 million,East Jakarta,2019-05-26,rapid
Yes,Male,18-34,IDR 5-10 million,East Jakarta,2019-05-26,rapid
Yes,Male,31-50,IDR 10-25 million,East Jakarta,2019-05-26,rapid
Yes,Female,18-34,IDR 10-25 million,East Jakarta,2019-05-26,rapid
Yes,Male,31-50,IDR 3-5 million,East Jakarta,2019-05-26,rapid
No,Male,31-50,IDR 10-25 million,West Jakarta,2019-05-26,rapid
No,Female,18-34,IDR 10-25 million,South Jakarta,2019-05-26,rapid
Yes,Female,50+,IDR 5-10 million,West Jakarta,2019-05-26,rapid
Yes,Male,50+,more than IDR 25 million,West Jakarta,2019-05-26,rapid
No,Male,18-34,IDR 3-5 million,West Jakarta,2019-05-26,rapid
Yes,Female,31-50,IDR 3-5 million,South Jakarta,2019-05-26,rapid
No,Female,31-50,IDR 3-5 million,North Jakarta,2019-05-26,rapid
Yes,Male,50+,IDR 3-5 million,West Jakarta,2019-05-26,rapid
No,Male,18-34,less than IDR 3 million,Central Jakarta,2019-05-26,rapid
No,Female,18-34,IDR 5-10 million,East Jakarta,2019-05-27,rapid
No,Female,31-50,IDR 5-10 million,North Jakarta,2019-05-27,rapid
No,Female,18-34,IDR 5-10 million,West Jakarta,2019-05-27,rapid
No,Male,31-50,more than IDR 25 million,South Jakarta,2019-05-27,rapid
No,Male,18-34,less than IDR 3 million,South Jakarta,2019-05-27,rapid
Yes,Male,31-50,IDR 5-10 million,North Jakarta,2019-05-27,rapid
No,Male,18-34,IDR 10-25 million,South Jakarta,2019-05-27,rapid
No,Female,31-50,less than IDR 3 million,East Jakarta,2019-05-27,rapid
No,Male,18-34,IDR 3-5 million,South Jakarta,2019-05-27,rapid
No,Female,18-34,IDR 5-10 million,South Jakarta,2019-05-27,rapid
Yes,Female,31-50,less than IDR 3 million,East Jakarta,2019-05-27,rapid
Yes,Female,31-50,IDR 3-5 million,South Jakarta,2019-05-27,rapid
No,Female,18-34,IDR 10-25 million,West Jakarta,2019-05-28,rapid
Yes,Female,31-50,IDR 3-5 million,East Jakarta,2019-05-28,rapid
Yes,Female,50+,less than IDR 3 million,Central Jakarta,2019-05-28,rapid
No,Female,50+,IDR 5-10 million,West Jakarta,2019-05-28,rapid
No,Female,31-50,IDR 3-5 million,East Jakarta,2019-05-28,rapid
No,Female,50+,IDR 10-25 million,South Jakarta,2019-05-28,rapid
Yes,Female,18-34,IDR 10-25 million,North Jakarta,2019-05-28,rapid
No,Male,50+,more than IDR 25 million,North Jakarta,2019-05-28,rapid
No,Female,31-50,IDR 10-25 million,North Jakarta,2019-05-28,rapid
No,Male,50+,IDR 3-5 million,West Jakarta,2019-05-28,rapid
Yes,Female,31-50,IDR 5-10 million,North Jakarta,2019-05-28,rapid
No,Male,31-50,less than IDR 3 million,West Jakarta,2019-05-28,rapid
No,Male,50+,IDR 5-10 million,Central Jakarta,2019-05-28,rapid
No,Female,50+,more than IDR 25 million,West Jakarta,2019-05-28,rapid
Yes,Male,50+,more than IDR 25 million,East Jakarta,2019-05-28,rapid
No,Male,31-50,less than IDR 3 million,Central Jakarta,2019-05-28,rapid
No,Male,50+,IDR 5-10 million,North Jakarta,2019-05-28,rapid
Yes,Female,18-34,less than IDR 3 million,South Jakarta,2019-05-28,rapid
No,Female,31-50,less than IDR 3 million,North Jakarta,2019-05-29,rapid
Yes,Male,18-34,less than IDR 3 million,West Jakarta,2019-05-29,rapid
Yes,Female,31-50,IDR 3-5 million,Central Jakarta,2019-05-29,rapid
No,Female,50+,IDR 10-25 million,West Jakarta,2019-05-29,rapid
Yes,Male,18-34,IDR 3-5 million,North Jakarta,2019-05-29,rapid
Yes,Female,18-34,less than IDR 3 million,East Jakarta,2019-05-29,rapid
Yes,Male,31-50,IDR 5-10 million,North Jakarta,2019-05-29,rapid
Yes,Male,31-50,IDR 3-5 million,Central Jakarta,2019-05-29,rapid
Yes,Male,50+,more than IDR 25 million,South Jakarta,2019-05-29,rapid
Yes,Male,50+,less than IDR 3 million,East Jakarta,2019-05-29,rapid
Yes,Male,18-34,IDR 5-10 million,West Jakarta,2019-05-29,rapid
Yes,Male,31-50,less than IDR 3 million,South Jakarta,2019-05-29,rapid
Yes,Male,18-34,less than IDR 3 million,Central Jakarta,2019-05-29,rapid
No,Female,18-34,IDR 5-10 million,Central Jakarta,2019-05-30,rapid
Yes,Male,50+,IDR 5-10 million,Central Jakarta,2019-05-30,rapid
No,Male,18-34,less than IDR 3 million,East Jakarta,2019-05-30,rapid
Yes,Male,18-34,less than IDR 3 million,South Jakarta,2019-05-30,rapid
No,Male,50+,more than IDR 25 million,East Jakarta,2019-05-30,rapid
Yes,Female,31-50,less than IDR 3 million,North Jakarta,2019-05-30,rapid
Yes,Female,31-50,IDR 3-5 million,North Jakarta,2019-05-30,rapid
No,Female,18-34,IDR 10-25 million,East Jakarta,2019-05-30,rapid
Yes,Male,18-34,more than IDR 25 million,Central Jakarta,2019-05-30,rapid
No,Female,50+,more than IDR 25 million,East Jakarta,2019-05-30,rapid
No,Female,50+,IDR 10-25 million,North Jakarta,2019-05-30,rapid
Yes,Female,50+,more than IDR 25 million,East Jakarta,2019-05-30,rapid
Yes,Male,31-50,less than IDR 3 million,West Jakarta,2019-05-30,rapid
Yes,Male,31-50,more than IDR 25 million,South Jakarta,2019-05-30,rapid
No,Female,31-50,more than IDR 25 million,North Jakarta,2019-05-30,rapid
Yes,Female,31-50,more than IDR 25 million,North Jakarta,2019-05-31,rapid
No,Female,18-34,more than IDR 25 million,East Jakarta,2019-05-31,rapid
No,Male,18-34,IDR 5-10 million,Central Jakarta,2019-05-31,rapid
Yes,Male,50+,IDR 3-5 million,East Jakarta,2019-05-31,rapid
Yes,Female,18-34,IDR 10-25 million,West Jakarta,2019-05-31,rapid
Yes,Female,18-34,IDR 3-5 million,Central Jakarta,2019-05-31,rapid
No,Male,18-34,less than IDR 3 million,Central Jakarta,2019-05-31,rapid
Yes,Male,31-50,IDR 10-25 million,East Jakarta,2019-05-31,rapid
Yes,Male,31-50,more than IDR 25 million,Central Jakarta,2019-05-31,rapid
Yes,Female,31-50,more than IDR 25 million,Central Jakarta,2019-05-31,rapid
Yes,Male,18-34,more than IDR 25 million,South Jakarta,2019-05-31,rapid
No,Male,18-34,less than IDR 3 million,North Jakarta,2019-05-31,rapid
Yes,Male,18-34,IDR 10-25 million,East Jakarta,2019-05-31,rapid
Yes,Female,31-50,less than IDR 3 million,South Jakarta,2019-05-31,rapid
Yes,Male,31-50,less than IDR 3 million,East Jakarta,2019-05-31,rapid
No,Female,50+,less than IDR 3 million,West Jakarta,2019-05-31,rapid
No,Male,50+,IDR 3-5 million,East Jakarta,2019-05-31,rapid
No,Male,31-50,more than IDR 25 million,West Jakarta,2019-05-31,rapid
Yes,Female,18-34,IDR 3-5 million,West Jakarta,2019-05-31,rapid
Yes,Female,18-34,less than IDR 3 million,North Jakarta,2019-05-31,rapid
Yes,Female,50+,more than IDR 25 million,Central Jakarta,2019-05-31,rapid
No,Female,18-34,IDR 5-10 million,North Jakarta,2019-05-31,rapid
No,Male,50+,IDR 5-10 million,West Jakarta,2019-05-31,rapid
No,Female,31-50,IDR 3-5 million,North Jakarta,2019-05-31,rapid
Yes,Male,31-50,more than IDR 25 million,East Jakarta,2019-05-31,rapid
No,Male,31-50,IDR 5-10 million,West Jakarta,2019-05-31,rapid
Yes,Male,18-34,less than IDR 3 million,North Jakarta,2019-05-31,rapid
No,Female,18-34,IDR 10-25 million,West Jakarta,2019-05-31,rapid
No,Female,18-34,IDR 10-25 million,East Jakarta,2019-05-31,rapid
Yes,Female,31-50,less than IDR 3 million,North Jakarta,2019-05-31,rapid
Yes,Female,18-34,IDR 5-10 million,West Jakarta,2019-06-06,rapid
Yes,Male,31-50,more than IDR 25 million,North Jakarta,2019-06-06,rapid
Yes,Male,18-34,IDR 3-5 million,Central Jakarta,2019-06-06,rapid
No,Male,50+,more than IDR 25 million,North Jakarta,2019-06-06,rapid
No,Male,18-34,more than IDR 25 million,South Jakarta,2019-06-06,rapid
No,Female,31-50,IDR 10-25 million,North Jakarta,2019-06-06,rapid
No,Male,18-34,IDR 3-5 million,South Jakarta,2019-06-06,rapid
Yes,Female,18-34,more than IDR 25 million,South Jakarta,2019-06-06,rapid
No,Female,18-34,IDR 5-10 million,Central Jakarta,2019-06-06,rapid
No,Female,50+,IDR 5-10 million,East Jakarta,2019-06-06,rapid
Yes,Male,18-34,IDR 5-10 million,North Jakarta,2019-06-06,rapid
No,Female,18-34,IDR 10-25 million,South Jakarta,2019-06-06,rapid
No,Male,18-34,IDR 10-25 million,North Jakarta,2019-06-06,rapid
Yes,Male,18-34,IDR 3-5 million,South Jakarta,2019-06-06,rapid
Yes,Male,18-34,less than IDR 3 million,North Jakarta,2019-06-06,rapid
No,Male,50+,more than IDR 25 million,South Jakarta,2019-06-06,rapid
No,Male,50+,IDR 10-25 million,Central Jakarta,2019-06-06,rapid
No,Male,50+,IDR 3-5 million,Central Jakarta,2019-06-06,rapid
Yes,Male,50+,IDR 10-25 million,Central Jakarta,2019-06-06,rapid
No,Female,31-50,less than IDR 3 million,East Jakarta,2019-06-13,rapid
Yes,Female,18-34,IDR 5-10 million,North Jakarta,2019-06-13,rapid
Yes,Male,18-34,IDR 10-25 million,Central Jakarta,2019-06-13,rapid
No,Male,31-50,less than IDR 3 million,North Jakarta,2019-06-13,rapid
Yes,Male,50+,more than IDR 25 million,South Jakarta,2019-06-13,rapid
Yes,Female,18-34,IDR 10-25 million,North Jakarta,2019-06-13,rapid
No,Female,18-34,IDR 10-25 million,South Jakarta,2019-06-13,rapid
Yes,Female,50+,IDR 3-5 million,Central Jakarta,2019-06-13,rapid
No,Female,18-34,IDR 5-10 million,East Jakarta,2019-06-13,rapid
No,Male,50+,IDR 3-5 million,East Jakarta,2019-06-13,rapid
No,Male,18-34,IDR 3-5 million,South Jakarta,2019-06-13,rapid
No,Female,31-50,IDR 10-25 million,East Jakarta,2019-06-13,rapid
No,Male,18-34,IDR 3-5 million,West Jakarta,2019-06-13,rapid
Yes,Male,18-34,IDR 10-25 million,South Jakarta,2019-06-13,rapid
Yes,Male,31-50,less than IDR 3 million,South Jakarta,2019-06-13,rapid
Yes,Female,31-50,IDR 5-10 million,West Jakarta,2019-06-13,rapid
No,Male,50+,IDR 10-25 million,East Jakarta,2019-06-13,rapid
No,Male,18-34,IDR 5-10 million,South Jakarta,2019-06-13,rapid
No,Male,18-34,IDR 10-25 million,North Jakarta,2019-06-14,rapid
No,Male,31-50,IDR 3-5 million,Central Jakarta,2019-06-14,rapid
No,Male,31-50,IDR 5-10 million,West Jakarta,2019-06-14,rapid
Yes,Female,50+,IDR 10-25 million,West Jakarta,2019-06-14,rapid
No,Female,31-50,IDR 3-5 million,North Jakarta,2019-06-14,rapid
Yes,Male,50+,less than IDR 3 million,West Jakarta,2019-06-14,rapid
Yes,Male,18-34,IDR 10-25 million,South Jakarta,2019-06-14,rapid
No,Male,31-50,less than IDR 3 million,South Jakarta,2019-06-14,rapid
Yes,Male,50+,more than IDR 25 million,West Jakarta,2019-06-14,rapid
Yes,Female,50+,more than IDR 25 million,West Jakarta,2019-06-14,rapid
No,Female,18-34,IDR 10-25 million,South Jakarta,2019-06-14,rapid
No,Male,50+,less than IDR 3 million,West Jakarta,2019-06-14,rapid
No,Male,50+,IDR 3-5 million,South Jakarta,2019-06-14,rapid
Yes,Male,18-34,IDR 3-5 million,West Jakarta,2019-06-14,rapid
Yes,Female,31-50,more than IDR 25 million,Central Jakarta,2019-06-14,rapid
Yes,Female,31-50,IDR 5-10 million,North Jakarta,2019-06-14,rapid
Yes,Male,31-50,more than IDR 25 million,South Jakarta,2019-06-14,rapid
No,Male,50+,more than IDR 25 million,West Jakarta,2019-06-14,rapid
No,Female,18-34,IDR 5-10 million,Central Jakarta,2019-06-14,rapid
No,Female,18-34,IDR 3-5 million,North Jakarta,2019-06-14,rapid
Yes,Female,31-50,IDR 10-25 million,North Jakarta,2019-06-15,rapid
Yes,Female,18-34,less than IDR 3 million,Central Jakarta,2019-06-15,rapid
No,Female,18-34,more than IDR 25 million,East Jakarta,2019-06-15,rapid
Yes,Male,31-50,more than IDR 25 million,North Jakarta,2019-06-15,rapid
Yes,Female,50+,IDR 3-5 million,East Jakarta,2019-06-15,rapid
No,Female,50+,IDR 5-10 million,North Jakarta,2019-06-15,rapid
No,Female,31-50,IDR 3-5 million,Central Jakarta,2019-06-15,rapid
Yes,Female,31-50,IDR 5-10 million,North Jakarta,2019-06-15,rapid
Yes,Male,31-50,IDR 5-10 million,West Jakarta,2019-06-15,rapid
Yes,Male,50+,IDR 10-25 million,South Jakarta,2019-06-15,rapid
No,Female,50+,less than IDR 3 million,Central Jakarta,2019-06-15,rapid
No,Male,31-50,less than IDR 3 million,North Jakarta,2019-06-16,rapid
Yes,Male,18-34,less than IDR 3 million,West Jakarta,2019-06-16,rapid
No,Male,50+,more than IDR 25 million,South Jakarta,2019-06-16,rapid
No,Female,50+,IDR 5-10 million,South Jakarta,2019-06-16,rapid
Yes,Male,18-34,less than IDR 3 million,South Jakarta,2019-06-16,rapid
No,Female,18-34,less than IDR 3 million,West Jakarta,2019-06-16,rapid
Yes,Male,50+,IDR 3-5 million,South Jakarta,2019-06-16,rapid
Yes,Female,31-50,IDR 3-5 million,Central Jakarta,2019-06-16,rapid
Yes,Female,18-34,more than IDR 25 million,East Jakarta,2019-06-16,rapid
No,Male,50+,IDR 3-5 million,North Jakarta,2019-06-16,rapid
Yes,Male,50+,more than IDR 25 million,East Jakarta,2019-06-16,rapid
No,Male,18-34,more than IDR 25 million,East Jakarta,2019-06-16,rapid
Yes,Female,31-50,IDR 10-25 million,East Jakarta,2019-06-16,rapid
No,Female,50+,IDR 10-25 million,West Jakarta,2019-06-16,rapid
No,Female,18-34,IDR 3-5 million,East Jakarta,2019-06-16,rapid
Yes,Female,50+,IDR 10-25 million,East Jakarta,2019-06-16,rapid
No,Female,50+,more than IDR 25 million,South Jakarta,2019-06-16,rapid
No,Male,50+,less than IDR 3 million,Central Jakarta,2019-06-16,rapid
Yes,Male,18-34,IDR 10-25 million,South Jakarta,2019-06-16,rapid
Yes,Female,18-34,IDR 10-25 million,South Jakarta,2019-06-17,rapid
No,Male,31-50,IDR 3-5 million,East Jakarta,2019-06-17,rapid
Yes,Female,31-50,IDR 10-25 million,East Jakarta,2019-06-17,rapid
No,Male,31-50,IDR 3-5 million,West Jakarta,2019-06-17,rapid
Yes,Male,50+,less than IDR 3 million,South Jakarta,2019-06-17,rapid
Yes,Male,18-34,more than IDR 25 million,North Jakarta,2019-06-17,rapid
Yes,Female,31-50,more than IDR 25 million,East Jakarta,2019-06-17,rapid
Yes,Female,31-50,less than IDR 3 million,South Jakarta,2019-06-17,rapid
Yes,Female,18-34,IDR 3-5 million,West Jakarta,2019-06-17,rapid
No,Male,31-50,IDR 10-25 million,North Jakarta,2019-06-17,rapid
Yes,Male,31-50,IDR 3-5 million,North Jakarta,2019-06-17,rapid
Yes,Female,31-50,IDR 5-10 million,East Jakarta,2019-06-17,rapid
Yes,Female,50+,IDR 3-5 million,North Jakarta,2019-06-17,rapid
No,Male,31-50,less than IDR 3 million,South Jakarta,2019-06-17,rapid
Yes,Female,18-34,IDR 5-10 million,South Jakarta,2019-06-17,rapid
Yes,Male,31-50,IDR 3-5 million,South Jakarta,2019-06-17,rapid
No,Male,50+,IDR 3-5 million,South Jakarta,2019-06-17,rapid
Yes,Female,18-34,more than IDR 25 million,East Jakarta,2019-06-17,rapid
No,Female,31-50,less than IDR 3 million,West Jakarta,2019-06-17,rapid
Yes,Male,31-50,IDR 10-25 million,West Jakarta,2019-06-18,rapid
No,Male,18-34,less than IDR 3 million,West Jakarta,2019-06-18,rapid
Yes,Male,31-50,IDR 3-5 million,North Jakarta,2019-06-18,rapid
Yes,Male,31-50,less than IDR 3 million,South Jakarta,2019-06-18,rapid
Yes,Female,50+,more than IDR 25 million,West Jakarta,2019-06-18,rapid
No,Female,31-50,IDR 10-25 million,South Jakarta,2019-06-18,rapid
No,Female,18-34,IDR 5-10 million,East Jakarta,2019-06-18,rapid
No,Female,18-34,IDR 10-25 million,South Jakarta,2019-06-18,rapid
No,Male,50+,IDR 5-10 million,South Jakarta,2019-06-18,rapid
No,Male,50+,more than IDR 25 million,West Jakarta,2019-06-18,rapid
Yes,Male,50+,IDR 5-10 million,North Jakarta,2019-06-18,rapid
Yes,Female,31-50,IDR 10-25 million,East Jakarta,2019-06-18,rapid
No,Male,50+,IDR 5-10 million,North Jakarta,2019-06-18,rapid
Yes,Female,50+,less than IDR 3 million,South Jakarta,2019-06-18,rapid
No,Female,31-50,more than IDR 25 million,Central Jakarta,2019-06-18,rapid
No,Male,31-50,less than IDR 3 million,West Jakarta,2019-06-18,rapid
No,Male,18-34,more than IDR 25 million,Central Jakarta,2019-06-18,rapid
Yes,Male,50+,more than IDR 25 million,North Jakarta,2019-06-18,rapid
No,Male,31-50,IDR 10-25 million,South Jakarta,2019-06-18,rapid
No,Female,50+,less than IDR 3 million,East Jakarta,2019-06-18,rapid
No,Male,31-50,IDR 5-10 million,Central Jakarta,2019-06-18,rapid
No,Female,18-34,IDR 5-10 million,North Jakarta,2019-06-18,rapid
Yes,Male,50+,IDR 5-10 million,Central Jakarta,2019-06-18,rapid
No,Female,31-50,more than IDR 25 million,Central Jakarta,2019-06-19,rapid
No,Male,31-50,less than IDR 3 million,Central Jakarta,2019-06-19,rapid
Yes,Female,18-34,less than IDR 3 million,Central Jakarta,2019-06-19,rapid
Yes,Male,18-34,IDR 5-10 million,East Jakarta,2019-06-19,rapid
No,Male,31-50,IDR 10-25 million,South Jakarta,2019-06-19,rapid
Yes,Female,18-34,IDR 3-5 million,North Jakarta,2019-06-19,rapid
No,Female,18-34,more than IDR 25 million,West Jakarta,2019-06-19,rapid
No,Female,31-50,IDR 10-25 million,South Jakarta,2019-06-19,rapid
Yes,Male,18-34,less than IDR 3 million,North Jakarta,2019-06-19,rapid
No,Female,50+,IDR 5-10 million,Central Jakarta,2019-06-19,rapid
Yes,Female,50+,less than IDR 3 million,North Jakarta,2019-06-19,rapid
Yes,Male,18-34,less than IDR 3 million,Central Jakarta,2019-06-19,rapid
No,Male,31-50,more than IDR 25 million,South Jakarta,2019-06-19,rapid
No,Female,50+,IDR 10-25 million,South Jakarta,2019-06-19,rapid
Yes,Female,31-50,IDR 5-10 million,North Jakarta,2019-06-19,rapid
Yes,Female,31-50,IDR 10-25 million,East Jakarta,2019-06-19,rapid
No,Female,31-50,IDR 3-5 million,North Jakarta,2019-06-19,rapid
Yes,Female,31-50,less than IDR 3 million,South Jakarta,2019-06-19,rapid
Yes,Female,50+,more than IDR 25 million,West Jakarta,2019-06-19,rapid
Yes,Female,18-34,more than IDR 25 million,South Jakarta,2019-06-19,rapid
Yes,Male,18-34,IDR 3-5 million,South Jakarta,2019-06-19,rapid
No,Female,50+,more than IDR 25 million,North Jakarta,2019-06-20,rapid
No,Male,31-50,less than IDR 3 million,Central Jakarta,2019-06-20,rapid
Yes,Male,18-34,less than IDR 3 million,North Jakarta,2019-06-20,rapid
Yes,Female,18-34,more than IDR 25 million,North Jakarta,2019-06-20,rapid
No,Female,18-34,more than IDR 25 million,South Jakarta,2019-06-20,rapid
Yes,Male,50+,IDR 5-10 million,East Jakarta,2019-06-20,rapid
No,Female,31-50,IDR 3-5 million,East Jakarta,2019-06-20,rapid
Yes,Male,31-50,IDR 3-5 million,North Jakarta,2019-06-20,rapid
No,Male,18-34,IDR 3-5 million,North Jakarta,2019-06-20,rapid
No,Male,18-34,less than IDR 3 million,West Jakarta,2019-06-20,rapid
Yes,Male,50+,more than IDR 25 million,North Jakarta,2019-06-20,rapid
Yes,Male,18-34,IDR 10-25 million,South Jakarta,2019-06-20,rapid
Yes,Female,50+,IDR 3-5 million,Central Jakarta,2019-06-20,rapid
Yes,Male,18-34,IDR 10-25 million,Central Jakarta,2019-06-20,rapid
Yes,Male,50+,less than IDR 3 million,South Jakarta,2019-06-20,rapid
No,Male,31-50,IDR 10-25 million,North Jakarta,2019-06-20,rapid
Yes,Female,50+,less than IDR 3 million,North Jakarta,2019-06-20,rapid
Yes,Female,50+,IDR 5-10 million,South Jakarta,2019-06-20,rapid
Yes,Female,18-34,less than IDR 3 million,West Jakarta,2019-06-20,rapid
No,Female,50+,less than IDR 3 million,East Jakarta,2019-06-20,rapid
Yes,Female,50+,more than IDR 25 million,North Jakarta,2019-06-21,rapid
No,Male,50+,less than IDR 3 million,North Jakarta,2019-06-21,rapid
Yes,Male,50+,IDR 5-10 million,Central Jakarta,2019-06-21,rapid
Yes,Male,18-34,IDR 10-25 million,Central Jakarta,2019-06-21,rapid
No,Male,50+,IDR 3-5 million,East Jakarta,2019-06-21,rapid
No,Female,18-34,IDR 10-25 million,West Jakarta,2019-06-21,rapid
Yes,Female,50+,IDR 10-25 million,East Jakarta,2019-06-21,rapid
Yes,Female,31-50,IDR 5-10 million,West Jakarta,2019-06-21,rapid
No,Female,31-50,IDR 10-25 million,Central Jakarta,2019-06-21,rapid
Yes,Male,18-34,IDR 3-5 million,East Jakarta,2019-06-21,rapid
Yes,Male,50+,less than IDR 3 million,East Jakarta,2019-06-21,rapid
Yes,Male,18-34,IDR 3-5 million,South Jakarta,2019-06-21,rapid
Yes,Female,18-34,IDR 3-5 million,Central Jakarta,2019-06-21,rapid
No,Male,50+,IDR 3-5 million,West Jakarta,2019-06-21,rapid
No,Male,50+,IDR 10-25 million,North Jakarta,2019-06-21,rapid
No,Male,50+,more than IDR 25 million,East Jakarta,2019-06-21,rapid
Yes,Female,18-34,IDR 10-25 million,North Jakarta,2019-06-21,rapid
Yes,Female,31-50,IDR 5-10 million,North Jakarta,2019-06-21,rapid
No,Female,50+,more than IDR 25 million,West Jakarta,2019-06-21,rapid
No,Female,50+,IDR 5-10 million,Central Jakarta,2019-06-22,rapid
Yes,Female,31-50,more than IDR 25 million,South Jakarta,2019-06-22,rapid
Yes,Female,31-50,IDR 10-25 million,South Jakarta,2019-06-22,rapid
No,Male,50+,IDR 3-5 million,South Jakarta,2019-06-22,rapid
No,Female,18-34,more than IDR 25 million,South Jakarta,2019-06-22,rapid
Yes,Male,31-50,IDR 3-5 million,West Jakarta,2019-06-22,rapid
Yes,Male,18-34,IDR 10-25 million,West Jakarta,2019-06-22,rapid
No,Female,31-50,less than IDR 3 million,Central Jakarta,2019-06-22,rapid
No,Female,31-50,less than IDR 3 million,North Jakarta,2019-06-22,rapid
No,Male,50+,more than IDR 25 million,West Jakarta,2019-06-22,rapid
Yes,Male,50+,IDR 3-5 million,South Jakarta,2019-06-22,rapid
Yes,Male,50+,more than IDR 25 million,South Jakarta,2019-06-22,rapid
Yes,Male,18-34,IDR 3-5 million,East Jakarta,2019-06-22,rapid
Yes,Male,31-50,IDR 10-25 million,East Jakarta,2019-06-23,rapid
Yes,Male,18-34,more than IDR 25 million,East Jakarta,2019-06-23,rapid
Yes,Female,18-34,IDR 10-25 million,West Jakarta,2019-06-23,rapid
Yes,Male,50+,IDR 10-25 million,Central Jakarta,2019-06-23,rapid
No,Male,18-34,more than IDR 25 million,North Jakarta,2019-06-23,rapid
No,Male,31-50,IDR 10-25 million,North Jakarta,2019-06-23,rapid
No,Male,50+,more than IDR 25 million,West Jakarta,2019-06-23,rapid
No,Male,31-50,less than IDR 3 million,South Jakarta,2019-06-23,rapid
Yes,Female,18-34,more than IDR 25 million,Central Jakarta,2019-06-23,rapid
Yes,Male,50+,more than IDR 25 million,South Jakarta,2019-06-23,rapid
Yes,Male,50+,more than IDR 25 million,Central Jakarta,2019-06-23,rapid
No,Male,50+,IDR 3-5 million,South Jakarta,2019-06-23,rapid
Yes,Male,18-34,IDR 5-10 million,Central Jakarta,2019-06-23,rapid
Yes,Female,50+,IDR 5-10 million,North Jakarta,2019-06-23,rapid
Yes,Female,18-34,IDR 10-25 million,East Jakarta,2019-06-23,rapid
No,Female,18-34,more than IDR 25 million,Central Jakarta,2019-06-23,rapid
No,Male,50+,less than IDR 3 million,West Jakarta,2019-06-24,rapid
No,Male,18-34,IDR 5-10 million,North Jakarta,2019-06-24,rapid
No,Male,31-50,IDR 10-25 million,North Jakarta,2019-06-24,rapid
No,Female,18-34,IDR 10-25 million,South Jakarta,2019-06-24,rapid
Yes,Male,50+,IDR 3-5 million,Central Jakarta,2019-06-24,rapid
No,Male,18-34,more than IDR 25 million,West Jakarta,2019-06-24,rapid
No,Female,50+,IDR 5-10 million,West Jakarta,2019-06-24,rapid
Yes,Male,18-34,IDR 10-25 million,West Jakarta,2019-06-24,rapid
No,Female,31-50,more than IDR 25 million,West Jakarta,2019-06-24,rapid
No,Female,18-34,IDR 10-25 million,East Jakarta,2019-06-24,rapid
